MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,PCE,V_OC,J_SC,FF,Eg
0.2,0.65,0.15,0,1,0,0,0.6,2.4,18.3,1.1535,204,0.783,1.68
0.2,0.65,0.15,0,1,0,0,0.6,2.4,16,1.14,199,0.718,1.67
0.17,0.68,0.15,0,1,0,0,0.3,2.7,16.2,1.06,212,0.722,1.63
0.17,0.68,0.15,0,1,0,0,0.51,2.49,16.8,1.09,203,0.757,1.65
0.17,0.68,0.15,0,1,0,0,0.6,2.4,16.1,1.1,199,0.737,1.68
0.17,0.68,0.15,0,1,0,0,0.72,2.28,14.9,1.09,187,0.724,1.71
0.17,0.68,0.15,0,1,0,0,0.9,2.1,14.4,1.11,180,0.719,1.74
0.14,0.71,0.15,0,1,0,0,0.9,2.1,17.8,1.185,189.5,0.795,1.7
0.1,0.75,0.15,0,1,0,0,0.6,2.4,16,1.11,189,0.765,1.66
0.1,0.75,0.15,0,1,0,0,0.1,2.9,20.2,1.13,234.9,0.77,1.57
0.1,0.75,0.15,0,1,0,0,0,3,19.725,1.13,230.4,0.7605,1.554
0.09,0.76,0.15,0,1,0,0,0.03,2.97,16.46,1.05,225.3,0.698,1.599
0,0.85,0.15,0,0.375,0.625,0,0,3,13.5,0.76,246,0.7,1.24
0,0.85,0.15,0,1,0,0,0.12,2.88,20,1.117,227.4,0.781,1.6
0,0.85,0.15,0,1,0,0,0.15,2.85,15,1,224,0.74,1.59
0,0.85,0.15,0,1,0,0,0.3,2.7,18.935,1.1015,226.7,0.76,1.58
0,0.85,0.15,0,1,0,0,0.45,2.55,16.26,1.011,222.4,0.7195,1.535
0,0.85,0.15,0,1,0,0,0.6,2.4,19.07,1.146,213.1,0.7805,1.626
0,0.85,0.15,0,1,0,0,0.81,2.19,15.55,1.18,190.65,0.6935,1.72
0,0.85,0.15,0,1,0,0,0.87,2.13,12.1,1.21,151,0.709,1.72
0,0.85,0.15,0,1,0,0,0.9,2.1,18.23,1.188,199.3,0.769,1.7
0,0.85,0.15,0,1,0,0,1.2,1.8,16.74,1.202,180.5,0.7655,1.752
0,0.85,0.15,0,1,0,0,2.1,0.9,10.7,1.2,114,0.778,2
0,0.85,0.15,0,1,0,0,0,3,15.2,0.999,214,0.697,1.54
0.85,0,0.15,0,1,0,0,0.45,2.55,10.39,1.09,131.6,0.73,1.71
0.85,0,0.15,0,1,0,0,1.2,1.8,8.1,0.98,129,0.64,1.82
0.85,0,0.15,0,1,0,0,0,3,12.44,0.99,163.9,0.76,1.59
0.04,0.8,0.16,0,1,0,0,1.5,1.5,14.33,1.2,145.3,0.82,1.82
0.04,0.8,0.16,0,1,0,0,1.71,1.29,13.19,1.21,134.2,0.814,1.89
0.04,0.8,0.16,0,1,0,0,1.83,1.17,12.75,1.23,127.9,0.812,1.91
0.08,0.75,0.17,0,1,0,0,0.39,2.61,9.615,0.925,188,0.5555,1.61
0,0.83,0.17,0,0.3,0.7,0,0,3,9.3,0.685,210.5,0.592,1.25
0,0.83,0.17,0,0.4,0.6,0,0,3,9.95,0.625,244,0.5495,1.25
0,0.83,0.17,0,0.5,0.5,0,0,3,12.1,0.725,235,0.5715,1.26
0,0.83,0.17,0,0.6,0.4,0,0,3,10.1,0.725,203,0.5695,1.275
0,0.83,0.17,0,0.7,0.3,0,0,3,14.25,0.785,250.5,0.6965,1.32
0,0.83,0.17,0,0.8,0.2,0,0,3,6.75,0.74,127.5,0.598,1.35
0,0.83,0.17,0,0.95,0.05,0,0,3,6.5,0.71,160.5,0.53,1.485
0,0.83,0.17,0,0.98,0.02,0,0,3,6.5,0.735,148,0.5915,1.51
0,0.83,0.17,0,0.995,0.005,0,0,3,6.3,0.805,117.5,0.6775,1.53
0,0.83,0.17,0,0.99999,1E-05,0,0,3,15,0.965,205.5,0.7305,1.545
0,0.83,0.17,0,0.9999,0.0001,0,0,3,14.3,0.95,200,0.7435,1.535
