entry_id,compound,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV)
-7M8qe4wtT5gCQrCpDQGhbZH7-8A,MAPbI3,9.63,0.02,9.030000000000001,0.536,1.5499999999999998
-7MYdDRfgoRsp5vfrQ9pRwmHbePn,MAPbI3,13.75,1.025,186.9,0.72,1.6
-7Yl-S0GiGdRqtLEoA3nmlIRbkXh,MAPbI3,8.29,0.9,176.0,0.52,1.6
-7_3IDb7715g0wK4QBMp7ZlwUOru,(DMA)PbI3,10.5,0.899,196.0,0.6,
-7piLcgM52oBNobrNdwoD43R7WHh,Ag2Bi3I11,0.28,0.54,14.6,0.36,1.9199999999999997
-86OdiVrUerbNRG0l9aObwIgg5LP,CsPbI3,5.81,0.68,143.3,0.6,
-89kmkbexGQ6nG5R4tZIU41Rqmvi,CsPbBrI2,11.87,1.17,126.89999999999999,0.799,1.91
-8bJNr0c-rH9rePWgKKctezx5hdY,MAPbI3,8.23,0.98,183.0,0.4589999999999999,1.6
-8eoN2m9kSmhxQo7FPeKk_IfSsAt,CsPbBrI2,13.33,1.21,139.3,0.79,1.9199999999999997
-8fx0nOP-T93nPKH-O50ZRAjkye-,MAPbI3,8.71,0.78,183.1,0.61,1.56
-8mmSYLHwbETckXhNat04MOqtlT6,MAPbI3,6.61,0.73,169.0,0.5379999999999999,
-92GY2Jdtot3Pk9Xi_0FnX6B5nwZ,MAPbI3,11.2,0.92,194.5,0.62,1.59
-9CEg-5vH3kzmciu2hWm02XnKXbx,MAPbI3,3.2,1.01,77.69999999999999,0.412,1.6
-9jRrf047nZpe-D5sHevb4xOWV-S,MAPbI3,10.6,0.97,189.0,0.57,1.6
-9tF1l-qy0GTpenODIqeSO5f-eQn,BA2MA3Pb4I13,10.01,1.01,166.1,0.525,
-9wQc8Sn0uKmkmx8zHMLbpFQHDUO,FA0.85MA0.15PbBr0.45I2.55,19.8,1.13,225.79999999999998,0.78,1.6200000000000003
-9znkqAe0yNa8iJe2PkzWJm7DiTB,MAPbI3,14.29,0.97,227.8,0.64,1.6
-A76pSRn1MC8N9noYxvIuy003Cjx,CsSnI3,1.46,0.35,84.39999999999999,0.49,
-A8OjJPua4mcaou3gByGWXL5rHpj,Cs0.05FA0.7885MA0.1615PbBr0.4845I2.51555,18.79,1.13,215.9,0.77,1.6
-ACSoNy25cka_6ffzyWz_vH_t6ZL,MAPbI3,6.4,0.78,229.0,0.67,1.6
-AN2Vr1Ewf7_4lZZmyxC78dC6OU7,MAPbI3,4.78,0.91,121.6,0.43,1.59
-ANDkpl8VtIArDGET0iBEm__HYWE,MAPbI3,10.8,0.8,242.0,0.556,1.6
-ANz0L4yXpTsvZVe0HkXc8Nvcu2e,FA0.9MA0.1PbBr0.1I2.9,21.52,1.13,236.9,0.8059999999999999,1.6800000000000002
-AZLcSTPr62SoPoBslJ9L5tcuCvp,((CH3)3S)2SnI6,1.12,0.49,43.4,0.53,
-Amj6MhqKJEaUGEnpB4JEX7jce_m,CsPb0.99Zn0.01Br3,6.59,1.453,58.099999999999994,0.7809999999999999,
-AsNAiPX7IwMDjlLsI-QLpiSg1V5,CsPbBrI2,13.4,1.185,146.7,0.8079999999999999,
-Av_5bsqxxiutcMlAI3SzT1rAs8d,MAPbI3,11.26,0.86,211.29999999999998,0.62,1.5300000000000002
-B0zs6OXhI_s9fepWfiSn9ZzaTVr,MAPbI3,11.1,0.94,211.0,0.557,1.57
-B7fQ2PI0qkQQj25NQWVor2pEaTN,MAPbI3,10.8,1.043,156.9,0.66,1.6
-BFgC8f4mXxRR2QcoTs59_lJw8Gk,MAPbI3,11.28,0.98,182.60000000000002,0.632,1.6
-BPLqBJTUyvIaleWUh9i1D4kPkdf,FA0.85MA0.15PbBr0.45I2.55,14.77,1.038,232.0,0.705,
-BYqqkFrOo1FslOGAtuQGGXuU-IQ,MAPbI3,7.19,0.95,166.0,0.455,1.6
-Bbyg0ambA1UiV2VXRIYj_7hnZ5e,MAPbI3,13.22,0.8340000000000001,216.0,0.735,1.6
-Bcj3Y0UoFxFiNfGTrjVC53pts72,MAPbI3,13.9,,,,1.59
-Bcw_t5NYwM4KGQx8ZvOWXhletst,Cs0.125FA0.75MA0.125PbBr0.33I2.67,16.4,1.07,213.0,0.726,
-BfVnNeCYAzjsmXmsitGU7jA7Hpi,MAPbI3,12.49,0.94,194.8,0.68,1.5499999999999998
-BvEGBERwmLfjFIeU2rMIIsGd3cX,Cs0.05FA0.81MA0.14PbBr0.45I2.55,20.14,1.09,238.2,0.7759999999999999,1.63
-ByAu9ZMCPb8uHlzmHqCajoTjevk,Cs0.05FA0.79MA0.16PbBr0.3I2.7,19.15,1.13,225.6,0.75,
-C1Pb32dqAE1xFdoYcBXUEPUWCD9,Cs0.05FA0.79MA0.16PbBr0.51I2.49,18.57,1.1,226.8,0.73,
-C4QYI-CEgyW823QOgjcYan3X9Bs,MAPbI3,9.85,0.91,201.20000000000002,0.5379999999999999,1.6
-CHjD1b1jzK1P5IKbmIiPtK2KVnt,MAPbI3,16.3,1.05,212.0,0.73,1.6
-CNEiFJf-z8iqcN6uDHC_0j5mlRw,MAPbI3,10.61,0.82,191.4,0.674,1.5
-CS8pQzrzoQeeiGXCngGy-TAhPaX,MAPbI3,16.74,1.015,229.8,0.718,1.6
-CSf8IdeFHMosfT_nIIXmwnrkFc_,MAPbI3,0.71,0.95,53.9,0.14,1.6
-CVejRDvfm5L7pLyhcTHV5P-F0Mu,MAPbI3,11.26,0.78,193.6,0.68,
-CVzWLooEuYVBeno6N4myFUTGObb,FA0.85MA0.15PbBr0.45I2.55,11.1,0.96,213.0,0.544,
-CayxscwTxc2mS1dpv3vxbkxlfCw,MAPbI3,5.83,,,,1.59
-CbWvGWFaxL_Ud6pwcOPMj96wokV,Cs0.15Ag3Bi3I9,1.64,0.76,48.6,0.444,1.8600000000000003
-CeFS3-FCt-62PeUya5dhe3NIVmg,MAPbI3,12.5,1.01,196.0,0.628,1.6
-ClJ07zlUT9seUWoYMFw2euGQjHq,FA0.83MA0.17PbBr0.51I2.49,18.0,1.061,230.79999999999998,0.7340000000000001,
-Cve4aSMsl4IXG5UURlgY-KjEByN,FA0.85MA0.15PbBr0.45I2.55,10.73,0.95,167.10000000000002,0.6759999999999999,
-DMR19ElWNfApf30fC7MUMyHVJBq,MAMn0.1Pb0.9I3,5.2,0.56,144.0,0.64,
-DNGrC7wbM6f5G2-WGh1oqlJ7jzr,Cs0.05FA0.75MA0.25Rb0.05PbBr0.25I0.75,20.11,1.207,209.8,0.794,1.6800000000000002
-DcMKPOGWgkoX4Nqrx_HvVEKZqQy,MAPbI3,13.6,1.0,190.0,0.716,1.6
-Dcc-DnWHJeUoV_SJFTbxDP_Ptri,FA0.85MA0.15PbBr0.45I2.55,17.35,1.11,213.6,0.73,1.6
-Ddw3Y9_9TfIHPQpWQ9BjhYni1Vc,MAPbI3,19.75,1.13,223.1,0.7829999999999999,1.6
-Dj9JVp-lqVobYl2YWxjUXvLaIU7,MAPbI3,17.9,1.15,220.0,0.71,1.6
-Dy6iG2HGrzkJzncPL-wKR4GtKx_,MAPb0.5Sn0.5I3,10.3,0.66,233.0,0.6709999999999999,
-EMN_zw6BUNmy7JUbNKOE6XVKSAP,MAPbI3,14.9,1.04,210.0,0.69,1.6
-EQ1iqWRLNxra-sCJnckDdpBhJaN,FA0.76MA0.15PbBr0.48I2.42,15.48,1.12,192.0,0.72,
-EWAIcw5MKkIi21sSPT9tJjxLCsH,MAPbI3,15.08,1.02,214.0,0.68,1.6
-EiGgnDrp1siQAqh-z6OMikb7sn1,BA2Cs1.5MA2.85Pb4I13,12.74,1.01,162.10000000000002,0.69,1.63
-Eu9ro0KBA1oFmRx7T69ws3A8iXY,MAPbI3,14.6,0.96,184.0,0.82,1.6
-F2sFpwSWKEGzbpmA8Y8OtKjkDme,MAPbI3,10.1,0.93,179.0,0.603,1.6
-F7cru5kBugEmtnGSE9RHNnyfu9d,(PyrEA)PbI4,1.3,0.8,24.900000000000002,0.655,2.48
-FPLovrWDH7cKUbrkn76CTJWZmiS,FA0.7MA0.3PbBr0.3I2.9,16.0,1.11,213.0,0.68,
-FdwbA-L-7yj-ytC6jLnXLApyKQe,MAPbI3,12.4,0.981,194.0,0.652,1.6
-G0orPj5q3QgXWuElt_ArYlW3Rq6,MAPbI3,14.9,1.035,212.8,0.708,1.6
-GMKN7O6M11Qe2p7ni2lOeSDZNNb,MAPb0.4Sn0.6Br1.2I1.8,11.9,0.78,209.5,0.73,1.26
-GOEBm4MnnlDvc6Ha10koW0vkhhu,MAPbI3,10.2,0.879,180.0,0.65,1.59
-GYDJO6hSIdhbPFssovzJBXPA7pq,FA0.85MA0.15PbBr0.45I2.55,3.0,0.0139999999999999,5.2,0.42,
-GYg9Kb0poMC8BTQsug4YRF4GdkZ,MAPbI3,15.9,1.03,198.0,0.778,1.6
-GfFjG5SwX46Xx4sOglf-vcVWu_5,MAPbI3,0.3,0.71,8.0,0.472,1.6
-Gn4GE1UBBYkKshhsrtNUrs-TJMb,MAPbI3,5.0,0.95,139.0,0.37,1.6
-Gpe2-BAeeaU-TwMp7a5Q6ADujYR,MAPbI3,7.17,0.98,159.1,0.46,1.6
-Gv-vmZ0D5iLhBzcE5fd9SPQmLol,MAPbI3,10.2,0.84,188.0,0.6459999999999999,1.6
-GwlbcGp4JFYvtnZhOIv6e-8K6QL,Cs0.15FA0.68MA0.17PbBr0.72I2.28,14.9,1.09,187.0,0.724,1.71
-H27pp4PBARUawgaOT3lrvKS7AXy,FA0.85MA0.15PbBr0.45I2.55,17.0,1.11,212.8,0.72,
-H402C1J3lmWVv2FrLq3Ua23L4AY,MAPb1.0I3,9.65,0.89,176.8,0.61,1.5499999999999998
-H8DtiGx131eTKPs3AZ72IkiDG40,MAPbI3,0.19,0.73,12.9,0.2,1.6
-HChfLpp-5tSBTnbopNwLgWRe1lT,MAPbI3,15.6,1.037,209.1,0.687,1.6
-HKQW9EAonC3faQhSLI7hR-VJ9Ts,MAPbI3,18.72,1.09,222.0,0.7809999999999999,1.6
-HPjenadqU6P_Oet0tPGXErsLCZ3,BA2MA3Pb4I13,7.33,0.98,108.5,0.685,
-HUsKiNH14rBna87xhSkVe7Qw3kd,FA0.85MA0.15PbBr0.45I2.55,16.96,1.05,225.6,0.716,
-HbTzGqjtcc5dzg0SYj8sBBS95a_,MAPbI3,10.02,0.95,170.7,0.63,1.56
-HfJcXv0cS_z6pU1dG4C_p4MmrBr,(EDA)0.015FA0.29MA0.695Pb1.0I3,18.34,1.064,233.79999999999998,0.74,
-HiEFQjjGbjCUq84b9Qt7xOfxi2d,MAPbI3,8.8,0.96,164.1,0.56,1.6
-Hk9QMmDy_cJ2piz7aYoDWQUx9zy,MAPbI3,11.7,0.9,204.0,0.636,1.6
-Hmk2FUWBZxdYH2sGZIsQ6rxXhx6,Cs0.9Ag3Bi2.6I9,2.32,0.69,65.4,0.51,
-IB0k9q8EzB7-GddBYBdCnSSS4Vv,MAPbI3,7.57,0.995,106.6,0.7140000000000001,1.6
-IBwzgNXlZB8bpOEDiHQvbDHN6Y6,MAPbI3,7.2,0.7659999999999999,180.17,0.522,1.54
-IVzfCKz3gEJBujvBBjmBIF578BV,MAPbI3,10.14,0.83,172.10000000000002,0.71,1.6
-IYLlTdNhgDeR4OYl0lKSmiUNCmx,MAPbI3,13.97,1.1,166.9,0.7609999999999999,1.6
-IjfHWd_awomnIyAt-3V3AA_XYLI,MAPbI3,7.12,0.79,167.89999999999998,0.537,1.6
-ItkO4x-jFLmsk829_qiAQOVUX1k,FAPbI3,18.28,1.07,231.0,0.738,1.54
-IuZ0JuD6EkYMQHRpH26cVaIgTzf,MAPbI3,16.81,1.067,213.49,0.738,1.6
-Iv4ihOZts9RAyeyMrn6HVpSfWDv,MAPbI3,12.5,1.01,210.0,0.58,1.6
-JK-JT_nPhF8EcQ37I8NR53N2oLz,MAPbI3,16.03,1.13,197.3,0.7190000000000001,1.6
-JWY7aT09gUBJHl38ZOj2Gv28QFX,Cs0.05FA0.79MA0.16PbBr0.51I2.49,19.5,1.14,217.2,0.76,1.6200000000000003
-JXKgjLqCWZUCemFJYHdBEDvwjzC,MAPbI3,11.23,0.88,209.7,0.64,1.6
-JZsK6iHwPPaIzF4zYieXEvIDH_q,MAPb1.0I3,7.84,0.8220000000000001,178.5,0.534,1.6
-JbCyjXBvJe1PwHNPg7zWX8-EBSR,MASnCl3,0.17,0.48,2.0,0.65,2.5
-Jkh-WUYvqhRkwMgaZm2RWqhIlYN,MAPbI3,7.68,0.93,149.8,0.551,1.6
-Jp3sW5-M4m9S0AQ7OasJOSRT84J,MAPbI3,16.9,1.11,216.20000000000002,0.76,1.6
