compound,MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV),n_reports
Cs0.2FA0.75MA0.05PbBr0.51I2.49,0.05,0.75,0.2,0.0,1.0,0.0,0.0,0.51,2.49,15.2,1.022,207.0,0.72,1.63,1
Cs0.2FA0.8Pb0.25Sn0.75I3,0.0,0.8,0.2,0.0,0.25,0.75,0.0,0.0,3.0,7.83,0.56,244.4,0.5720000000000001,1.2,1
Cs0.2FA0.8Pb0.3Sn0.7I3,0.0,0.8,0.2,0.0,0.3,0.7,0.0,0.0,3.0,13.5,0.76,251.0,0.76,1.35,1
Cs0.2FA0.8Pb0.5Sn0.5I3,0.0,0.8,0.2,0.0,0.5,0.5,0.0,0.0,3.0,12.815000000000001,0.735,249.5,0.6864999999999999,1.31,2
Cs0.2FA0.8Pb0.75Sn0.25I3,0.0,0.8,0.2,0.0,0.75,0.25,0.0,0.0,3.0,14.46,0.84,227.3,0.757,1.35,1
Cs0.2FA0.8PbBr0.45Cl0.09I2.46,0.0,0.8,0.2,0.0,1.0,0.0,0.09,0.45,2.46,20.085,1.21,207.85000000000002,0.8145,1.66,4
Cs0.2FA0.8PbBr0.6I2.4,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.6,2.4,17.695,1.13,208.3,0.788,1.6800000000000002,8
Cs0.2FA0.8PbBr0.75I2.25,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.75,2.25,17.6,1.17,204.0,0.773,1.67,1
Cs0.2FA0.8PbBr0.9I2.1,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.9,2.1,15.95,1.189,179.20000000000002,0.748,1.7500000000000002,15
Cs0.2FA0.8PbBr1.05I1.95,0.0,0.8,0.2,0.0,1.0,0.0,0.0,1.05,1.95,12.1,1.08,151.0,0.73,1.76,3
Cs0.2FA0.8PbBr1.2I1.8,0.0,0.8,0.2,0.0,1.0,0.0,0.0,1.2,1.8,15.2,1.216,156.0,0.775,1.82,3
Cs0.2FA0.8PbBr1.5I1.5,0.0,0.8,0.2,0.0,1.0,0.0,0.0,1.5,1.5,11.35,1.18,130.2,0.7390000000000001,1.82,3
Cs0.2FA0.8PbI3,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.0,3.0,15.719999999999999,1.0150000000000001,228.60000000000002,0.6835,1.59,14
Cs0.2FA0.8SnI3,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,3.0,1.38,0.24,160.5,0.358,1.2,1
Cs0.2MA0.8Pb0.5Sn0.5I3,0.8,0.0,0.2,0.0,0.5,0.5,0.0,0.0,3.0,7.5,0.6,205.8,0.607,1.3,1
Cs0.2MA0.8PbI3,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.0,3.0,11.15,0.92,175.0,0.69,1.6200000000000003,1
Cs0.30FA0.70PbI3,0.0,0.7,0.3,0.0,1.0,0.0,0.0,0.0,3.0,15.86,1.01,207.1,0.758,1.58,1
Cs0.30MA0.70PbI3,0.7,0.0,0.3,0.0,1.0,0.0,0.0,0.0,3.0,3.78,1.04,58.5,0.62,1.58,1
Cs0.34MA0.66PbI3,0.66,0.0,0.34,0.0,1.0,0.0,0.0,0.0,3.0,17.13,1.05,220.4,0.74,1.652,1
Cs0.3FA0.2MA0.5PbI3,0.5,0.2,0.3,0.0,1.0,0.0,0.0,0.0,3.0,14.2,1.14,117.2,0.71,1.64,1
Cs0.3FA0.7Pb0.7Sn0.3I3,0.0,0.7,0.3,0.0,0.7,0.3,0.0,0.0,3.0,13.735,0.7,249.65,0.7585,1.3,6
Cs0.3FA0.7PbBr0.15I2.85,0.0,0.7,0.3,0.0,1.0,0.0,0.0,0.15,2.85,16.54,1.05,216.2,0.73,1.6200000000000003,1
Cs0.3FA0.7PbBr3,0.0,0.7,0.3,0.0,1.0,0.0,0.0,3.0,0.0,7.395,1.3395000000000001,70.85,0.7789999999999999,2.287,2
Cs0.3FA0.7PbI3,0.0,0.7,0.3,0.0,1.0,0.0,0.0,0.0,3.0,8.7,0.99,134.0,0.66,1.523,3
Cs0.3MA0.7Pb0.5Sn0.5I3,0.7,0.0,0.3,0.0,0.5,0.5,0.0,0.0,3.0,2.94,0.39,149.60000000000002,0.504,1.28,1
Cs0.40MA0.60PbI3,0.6,0.0,0.4,0.0,1.0,0.0,0.0,0.0,3.0,2.5,1.03,42.6,0.57,1.6200000000000003,1
Cs0.45FA0.55PbBr0.15I2.85,0.0,0.55,0.45,0.0,1.0,0.0,0.0,0.15,2.85,13.14,1.01,203.7,0.64,1.6200000000000003,1
Cs0.4FA0.2MA0.4PbI3,0.4,0.2,0.4,0.0,1.0,0.0,0.0,0.0,3.0,11.3,1.15,143.0,0.67,1.64,1
Cs0.4FA0.6PbBr0.9I2.1,0.0,0.6,0.4,0.0,1.0,0.0,0.0,0.9,2.1,14.5,1.14,158.0,0.78,1.76,2
Cs0.4FA0.6PbBr1.05I1.95,0.0,0.6,0.4,0.0,1.0,0.0,0.0,1.05,1.95,15.5,1.21,165.0,0.77,1.8,1
Cs0.5FA0.4MA0.1PbBr0.51I2.49,0.1,0.4,0.5,0.0,1.0,0.0,0.0,0.51,2.49,13.3,1.089,158.0,0.78,1.6999999999999995,3
Cs0.5FA0.5PbBr0.51I2.49,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.51,2.49,8.5,0.846,176.0,0.57,1.6200000000000003,1
Cs0.5FA0.5PbI3,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,3.0,15.8,1.1549999999999998,179.0,0.7414999999999999,1.64,4
