compound,MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV),n_reports
Cs0.60MA0.40PbI3,0.4,0.0,0.6,0.0,1.0,0.0,0.0,0.0,3.0,0.79,1.01,15.0,0.52,1.6800000000000002,1
Cs0.75FA0.25PbI3,0.0,0.25,0.75,0.0,1.0,0.0,0.0,0.0,3.0,10.965,1.15,154.3,0.6200000000000001,1.685,2
Cs0.80MA0.20PbI3,0.2,0.0,0.8,0.0,1.0,0.0,0.0,0.0,3.0,0.22,0.84,0.579999999999999,0.46,1.72,1
Cs0.88FA0.12PbI3,0.0,0.12,0.88,0.0,1.0,0.0,0.0,0.0,3.0,17.490000000000002,1.013,228.6,0.765,1.51,2
Cs0.8FA0.2PbBr0.9I2.1,0.0,0.2,0.8,0.0,1.0,0.0,0.0,0.9,2.1,16.1,1.17,178.79999999999998,0.782,1.73,5
CsPb0.1Sn0.9I3,0.0,0.0,1.0,0.0,0.1,0.9,0.0,0.0,3.0,0.4,0.206,1.77,0.31,1.22,1
CsPb0.3Sn0.7I3,0.0,0.0,1.0,0.0,0.3,0.7,0.0,0.0,3.0,0.28,0.477,3.9,0.46,1.29,1
CsPb0.6Sn0.4I3,0.0,0.0,1.0,0.0,0.6,0.4,0.0,0.0,3.0,12.51,0.735,245.7,0.624,1.38,5
CsPb0.9Sn0.1Br2I,0.0,0.0,1.0,0.0,0.9,0.1,0.0,2.0,1.0,10.715,1.2650000000000001,143.9,0.615,1.7899999999999998,2
CsPb1.0BrI2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.56,0.71,79.4,0.282,1.92,5
CsPbBr0.09I2.91,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.09,2.91,0.7,0.29,99.0,0.242,1.7700000000000002,1
CsPbBr0.15I2.85,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.15,2.85,12.71,1.012,188.7,0.7015,1.6999999999999995,10
CsPbBr0.21I2.79,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.21,2.79,5.82,0.91,143.7,0.444,1.81,1
CsPbBr0.2I2.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,2.8,10.875,1.0550000000000002,155.64999999999998,0.7444999999999999,1.82,4
CsPbBr0.31I2.69,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.31,2.69,8.645,1.02,124.6,0.6825,1.7500000000000002,8
CsPbBr0.45I2.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.45,2.55,15.9,1.12,163.6,0.769,1.8400000000000003,1
CsPbBr2.7I0.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.7,0.3,1.8900000000000001,0.995,40.849999999999994,0.485,2.32,4
CsPbBr2.8I0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.8,0.2,2.575,1.085,44.400000000000006,0.525,2.35,4
CsPbBr2.9I0.1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.9,0.1,3.0599999999999996,1.1749999999999998,46.599999999999994,0.565,2.38,4
CsPbBr2I,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,6.135,1.141,84.2,0.62,2.07,166
CsPbBr3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,6.61,1.36,67.5,0.753,2.3,137
CsPbBrI2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,11.495000000000001,1.15,143.3,0.7190000000000001,1.91,216
CsPbI3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,10.7,1.05,159.0,0.66,1.72,153
CsSnBr0.5I2.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,2.5,1.6,0.444,65.76,0.55,1.375,1
CsSnBr0.6I2.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,2.4,2.02,0.563,62.25,0.5770000000000001,1.4,1
CsSnBr2.5I0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.5,0.5,0.0,0.5720000000000001,0.1,0.372,2.36,1
CsSnBr2I,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.32,0.44299999999999995,74.915,0.489,1.64,2
CsSnBr3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.355,0.4225,16.5,0.5205,1.8,18
CsSnBrI2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.67,0.289,150.6,0.38,1.37,1
CsSnI3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.66,0.38,93.0,0.4679999999999999,1.3,31
EA0.1MA0.9PbI3,0.9,0.0,0.0,0.1,1.0,0.0,0.0,0.0,3.0,14.01,1.01,201.2,0.6920000000000001,1.59,1
EA0.2MA0.8PbI3,0.8,0.0,0.0,0.2,1.0,0.0,0.0,0.0,3.0,13.31,1.02,192.8,0.701,1.59,1
EA0.3MA0.7PbI3,0.7,0.0,0.0,0.3,1.0,0.0,0.0,0.0,3.0,13.28,1.04,192.1,0.672,1.59,1
